,Value,Feature
47,0,e_pracid_172.0
46,0,e_pracid_171.0
45,0,e_pracid_17.0
41,0,e_pracid_163.0
43,0,e_pracid_167.0
42,0,e_pracid_164.0
52,0,e_pracid_180.0
40,0,e_pracid_160.0
39,0,e_pracid_159.0
38,0,e_pracid_158.0
37,0,e_pracid_157.0
51,0,e_pracid_177.0
55,0,e_pracid_187.0
53,0,e_pracid_181.0
54,0,e_pracid_182.0
35,0,e_pracid_153.0
56,0,e_pracid_188.0
57,0,e_pracid_19.0
58,0,e_pracid_192.0
59,0,e_pracid_193.0
60,0,e_pracid_195.0
61,0,e_pracid_196.0
62,0,e_pracid_197.0
63,0,e_pracid_198.0
64,0,e_pracid_200.0
65,0,e_pracid_203.0
66,0,e_pracid_207.0
67,0,e_pracid_208.0
36,0,e_pracid_155.0
33,0,e_pracid_150.0
34,0,e_pracid_152.0
9,0,e_pracid_11.0
15,0,e_pracid_119.0
14,0,e_pracid_118.0
13,0,e_pracid_117.0
12,0,e_pracid_116.0
11,0,e_pracid_114.0
10,0,e_pracid_113.0
8,0,e_pracid_109.0
69,0,e_pracid_21.0
7,0,e_pracid_108.0
6,0,e_pracid_107.0
5,0,e_pracid_105.0
4,0,e_pracid_100.0
3,0,e_pracid_1.0
16,0,e_pracid_12.0
17,0,e_pracid_120.0
18,0,e_pracid_123.0
19,0,e_pracid_124.0
20,0,e_pracid_125.0
21,0,e_pracid_126.0
22,0,e_pracid_128.0
23,0,e_pracid_129.0
24,0,e_pracid_13.0
25,0,e_pracid_134.0
26,0,e_pracid_136.0
27,0,e_pracid_137.0
28,0,e_pracid_138.0
29,0,e_pracid_140.0
30,0,e_pracid_142.0
31,0,e_pracid_145.0
32,0,e_pracid_149.0
68,0,e_pracid_209.0
72,0,e_pracid_216.0
70,0,e_pracid_210.0
115,0,e_pracid_62.0
121,0,e_pracid_73.0
120,0,e_pracid_72.0
119,0,e_pracid_70.0
118,0,e_pracid_7.0
117,0,e_pracid_68.0
