,Value,Feature
50,0,e_pracid_181.0
49,0,e_pracid_180.0
48,0,e_pracid_177.0
47,0,e_pracid_175.0
46,0,e_pracid_173.0
45,0,e_pracid_172.0
41,0,e_pracid_163.0
43,0,e_pracid_17.0
42,0,e_pracid_168.0
52,0,e_pracid_183.0
40,0,e_pracid_160.0
39,0,e_pracid_158.0
38,0,e_pracid_157.0
37,0,e_pracid_155.0
51,0,e_pracid_182.0
55,0,e_pracid_19.0
53,0,e_pracid_187.0
54,0,e_pracid_188.0
35,0,e_pracid_150.0
56,0,e_pracid_192.0
57,0,e_pracid_193.0
58,0,e_pracid_194.0
59,0,e_pracid_195.0
60,0,e_pracid_196.0
61,0,e_pracid_197.0
62,0,e_pracid_198.0
63,0,e_pracid_200.0
64,0,e_pracid_203.0
65,0,e_pracid_207.0
66,0,e_pracid_208.0
67,0,e_pracid_21.0
36,0,e_pracid_153.0
33,0,e_pracid_149.0
34,0,e_pracid_15.0
9,0,e_pracid_109.0
15,0,e_pracid_12.0
14,0,e_pracid_118.0
13,0,e_pracid_117.0
12,0,e_pracid_116.0
11,0,e_pracid_113.0
10,0,e_pracid_11.0
8,0,e_pracid_108.0
69,0,e_pracid_211.0
7,0,e_pracid_107.0
6,0,e_pracid_100.0
5,0,e_pracid_1.0
16,0,e_pracid_120.0
17,0,e_pracid_122.0
18,0,e_pracid_123.0
19,0,e_pracid_124.0
20,0,e_pracid_125.0
21,0,e_pracid_126.0
22,0,e_pracid_128.0
23,0,e_pracid_129.0
24,0,e_pracid_13.0
25,0,e_pracid_133.0
26,0,e_pracid_134.0
27,0,e_pracid_136.0
28,0,e_pracid_137.0
29,0,e_pracid_138.0
30,0,e_pracid_140.0
31,0,e_pracid_145.0
32,0,e_pracid_146.0
68,0,e_pracid_210.0
72,0,e_pracid_222.0
70,0,e_pracid_216.0
114,0,e_pracid_61.0
120,0,e_pracid_71.0
119,0,e_pracid_70.0
118,0,e_pracid_7.0
117,0,e_pracid_68.0
116,0,e_pracid_66.0
115,0,e_pracid_62.0
113,0,e_pracid_58.0
71,0,e_pracid_221.0
112,0,e_pracid_57.0
111,0,e_pracid_56.0
110,0,e_pracid_53.0
109,0,e_pracid_52.0
108,0,e_pracid_50.0
107,0,e_pracid_5.0
121,0,e_pracid_73.0
122,0,e_pracid_75.0
123,0,e_pracid_76.0
124,0,e_pracid_77.0
125,0,e_pracid_8.0
126,0,e_pracid_81.0
127,0,e_pracid_85.0
128,0,e_pracid_86.0
129,0,e_pracid_87.0
130,0,e_pracid_89.0
131,0,e_pracid_90.0
132,0,e_pracid_92.0
133,0,e_pracid_93.0
134,0,e_pracid_94.0
135,0,e_pracid_96.0
136,0,e_pracid_98.0
106,0,e_pracid_48.0
105,0,e_pracid_46.0
104,0,e_pracid_45.0
87,0,e_pracid_247.0
73,0,e_pracid_223.0
74,0,e_pracid_224.0
75,0,e_pracid_226.0
76,0,e_pracid_228.0
77,0,e_pracid_229.0
78,0,e_pracid_23.0
79,0,e_pracid_232.0
80,0,e_pracid_233.0
81,0,e_pracid_235.0
82,0,e_pracid_238.0
83,0,e_pracid_240.0
84,0,e_pracid_243.0
85,0,e_pracid_244.0
86,0,e_pracid_246.0
88,0,e_pracid_248.0
103,0,e_pracid_42.0
89,0,e_pracid_250.0
90,0,e_pracid_251.0
91,0,e_pracid_253.0
92,0,e_pracid_256.0
93,0,e_pracid_26.0
94,0,e_pracid_27.0
95,0,e_pracid_29.0
96,0,e_pracid_32.0
97,0,e_pracid_33.0
98,0,e_pracid_34.0
99,0,e_pracid_35.0
100,0,e_pracid_4.0
101,0,e_pracid_40.0
102,0,e_pracid_41.0
