,Value,Feature
102,0,e_pracid_192.0
88,0,e_pracid_179.0
89,0,e_pracid_18.0
90,0,e_pracid_180.0
91,0,e_pracid_182.0
92,0,e_pracid_183.0
93,0,e_pracid_184.0
94,0,e_pracid_185.0
95,0,e_pracid_186.0
96,0,e_pracid_187.0
97,0,e_pracid_188.0
98,0,e_pracid_189.0
99,0,e_pracid_19.0
100,0,e_pracid_190.0
101,0,e_pracid_191.0
138,0,e_pracid_224.0
